title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Willy Wonka & the Chocolate Factory,movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,235953.0
King Kong,movie,"Action, Adventure, Romance",2005,tt0360717,7.2,457750.0
Live Flesh,movie,Drama,1997,tt0118819,7.3,34668.0
Batman Begins,movie,"Action, Drama",2005,tt0372784,8.2,1637785.0
The Shawshank Redemption,movie,Drama,1994,tt0111161,9.3,3024713.0
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1225046.0
A River Runs Through It,movie,Drama,1992,tt0105265,7.2,67532.0
Terminator 3: Rise of the Machines,movie,"Action, Sci-Fi",2003,tt0181852,6.3,427156.0
Meet Joe Black,movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,280690.0
Ocean's Thirteen,movie,"Crime, Thriller",2007,tt0496806,6.9,376284.0
Swimming Pool,movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,49817.0
Beverly Hills Cop III,movie,"Action, Comedy, Crime",1994,tt0109254,5.5,97207.0
Bruce Almighty,movie,"Comedy, Fantasy",2003,tt0315327,6.8,450372.0
Mystic River,movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,501828.0
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1111886.0
The Lost World: Jurassic Park,movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,457199.0
Jurassic Park III,movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,351208.0
Once Upon a Time in the West,movie,"Drama, Western",1968,tt0064116,8.5,365994.0
Night on Earth,movie,"Comedy, Drama",1991,tt0102536,7.7,68466.0
Eyes Wide Shut,movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,396623.0
Das Boot,movie,"Drama, War",1981,tt0082096,8.4,278101.0
Inside Man,movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,410866.0
A Fistful of Dollars,movie,"Drama, Western",1964,tt0058461,7.9,242475.0
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,206192.0
Kill Bill: Vol. 2,movie,"Action, Crime, Thriller",2004,tt0378194,8.0,834205.0
Basic Instinct,movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,230393.0
Driving Miss Daisy,movie,"Comedy, Drama",1989,tt0097239,7.3,120624.0
Summer in Berlin,movie,Drama,2005,tt0477877,6.9,3032.0
The Pianist,movie,"Biography, Drama, Music",2002,tt0253474,8.5,962274.0
Schindler's List,movie,"Biography, Drama, History",1993,tt0108052,9.0,1513836.0
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,495069.0
Sissi,movie,"Comedy, Drama, History",1955,tt0048624,7.0,10517.0
Sissi: The Young Empress,movie,"Drama, History",1956,tt0049762,6.6,7678.0
Sissi: The Fateful Years of an Empress,movie,"Drama, History, Romance",1957,tt0050974,6.6,6271.0
Erin Brockovich,movie,"Biography, Drama",2000,tt0195685,7.5,232626.0
As It Is in Heaven,movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18675.0
My Own Private Idaho,movie,Drama,1991,tt0102494,6.9,64254.0
Stranger Than Paradise,movie,"Comedy, Drama",1984,tt0088184,7.4,41898.0
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6.0,82644.0
The African Queen,movie,"Adventure, Drama, Romance",1951,tt0043265,7.7,86543.0
Good Will Hunting,movie,"Drama, Romance",1997,tt0119217,8.3,1129249.0
The Seventh Seal,movie,"Drama, Fantasy",1957,tt0050976,8.1,207044.0
The Green Mile,movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1476088.0
Reservoir Dogs,movie,"Crime, Thriller",1992,tt0105236,8.3,1127035.0
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,112744.0
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,167216.0
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,55966.0
Love Actually,movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,557373.0
Notting Hill,movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,362840.0
One Flew Over the Cuckoo's Nest,movie,Drama,1975,tt0073486,8.7,1111325.0
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,588569.0
Once Were Warriors,movie,"Crime, Drama",1994,tt0110729,7.9,38022.0
Terminator Salvation,movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,384921.0
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,61698.0
D.E.B.S.,movie,"Action, Comedy, Romance",2004,tt0367631,5.4,18689.0
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,188325.0
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,917474.0
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,741630.0
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,664725.0
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7.0,389993.0
