title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Dark Places,movie,"Crime, Drama, Mystery",2015,tt2402101,6.2,48876.0
The Unforgiven,movie,Drama,2005,tt0499274,6.8,402.0
"I, Superbiker: Day of Reckoning",movie,"Documentary, Sport",2013,tt3075842,5.9,19.0
I'm Not Worthy of You,movie,"Comedy, Musical, Romance",1965,tt0059517,5.6,112.0
Best Before,movie,"Comedy, Drama",2013,tt2192794,5.1,769.0
Lock Up Your Daughters,movie,Comedy,1980,,6.5,1601.0
The Contact,movie,Romance,1997,tt0140914,6.8,543.0
"The Fun, the Luck & the Tycoon",movie,"Comedy, Romance",1990,tt0097619,6.1,337.0
Doraemon: Nobita and the Haunts of Evil,movie,"Adventure, Animation, Comedy",1982,tt4184350,6.9,527.0
All My Loving,movie,"Biography, Documentary, Music",1968,tt0814001,6.2,150.0
Think Like a Man Too,movie,"Comedy, Romance",2014,tt2239832,5.7,23586.0
The Letter,movie,"Drama, Romance",2004,tt0439650,7.0,165.0
Pee Mak,movie,"Comedy, Horror, Romance",2013,tt2776344,7.2,6922.0
Hands of Stone,movie,"Biography, Drama, Sport",2016,tt1781827,6.6,18106.0
A Haunted House 2,movie,"Comedy, Fantasy, Horror",2014,tt2828996,4.7,24416.0
Deliver Us from Evil,movie,"Crime, Horror, Mystery",2014,tt2377322,6.2,88440.0
Saint Young Men: The Movie,movie,"Animation, Comedy",2012,tt2431934,6.7,956.0
Super Salaryman,movie,"Comedy, Drama",2012,tt2754800,6.5,149.0
It Takes a Man and a Woman,movie,"Comedy, Drama, Romance",2013,tt2816740,6.8,421.0
The Birch-Tree Meadow,movie,Drama,2003,tt0354808,6.4,259.0
My Stolen Revolution,movie,Documentary,2013,tt2673456,7.0,138.0
Yeh Jawaani Hai Deewani,movie,"Comedy, Drama, Musical",2013,tt2178470,7.3,54757.0
The Interrupted Journey,movie,"Crime, Drama, Mystery",1949,tt0041511,6.7,684.0
[REC] 4: Apocalypse,movie,"Action, Horror, Thriller",2014,tt1649443,5.3,21292.0
Videograms of a Revolution,movie,"Documentary, History, War",1992,tt0108489,8.0,712.0
Hai-Alarm am Müggelsee,movie,Comedy,2013,tt2352394,5.9,669.0
Love Is Not What It Used to Be,movie,"Comedy, Drama",2013,tt2544864,5.0,193.0
Stockholm,movie,"Drama, Romance",2013,tt2380207,6.9,5272.0
"Long Ago, Tomorrow",movie,"Drama, Romance",1971,tt0067357,6.9,706.0
Swearnet,movie,Comedy,2014,tt2380564,6.0,3208.0
Daily Lives of High School Boys,movie,"Comedy, Romance",2013,tt2851298,5.4,181.0
Boulevard des assassins,movie,"Crime, Drama, Mystery",1982,tt0083684,5.6,208.0
"Love, etc.",movie,"Comedy, Drama, Romance",1996,tt0116932,6.2,772.0
Alma gitana,movie,"Drama, Romance",1996,tt0115519,5.5,127.0
A Liberal Passion,movie,Comedy,2013,tt2882850,5.1,677.0
22 Jump Street,movie,"Action, Comedy, Crime",2014,tt2294449,7.0,420942.0
The Married Couples,movie,Comedy,1981,tt7085732,8.0,723.0
¡Asu Mare!,movie,"Biography, Comedy",2013,tt2842470,6.4,902.0
Shed No Tears,movie,"Drama, Music, Romance",2013,tt2429292,6.9,5797.0
Blonde Fist,movie,"Action, Drama, Sport",1991,tt0101473,4.6,301.0
Finding Mr. Right,movie,"Comedy, Romance",2013,tt2169322,6.5,2879.0
The Legend of Hercules,movie,"Action, Adventure, Fantasy",2014,tt1043726,4.3,57015.0
Entourage,movie,"Comedy, Drama",2015,tt1674771,6.5,84205.0
Doraemon: Nobita's Dorabian Nights,movie,"Adventure, Animation, Comedy",1991,tt1147508,7.3,1198.0
León and Olvido,movie,Drama,2004,tt0414225,6.3,219.0
Star Trek Beyond,movie,"Action, Adventure, Sci-Fi",2016,tt2660888,7.0,264174.0
City Hunter: Bay City Wars,movie,"Action, Animation, Comedy",1990,tt0099272,6.8,406.0
City Hunter: Million Dollar Conspiracy,movie,"Action, Animation, Comedy",1990,tt0159362,7.0,335.0
My Paparotti,movie,"Biography, Comedy, Drama",2013,tt2958712,7.1,631.0
How to Use Guys with Secret Tips,movie,"Comedy, Romance",2013,tt2934568,6.4,599.0
"Yo, 'El Vaquilla'",movie,"Action, Biography, Drama",1985,tt0090354,5.3,560.0
Frágil,movie,"Comedy, Drama, Romance",2004,tt0438042,5.7,451.0
Gippi,movie,"Comedy, Drama",2013,tt2814372,5.6,918.0
Edward and Caroline,movie,"Comedy, Drama, Romance",1951,tt0042429,6.9,783.0
Främmande hamn,movie,Drama,1948,tt0040376,5.7,104.0
Theeya Velai Seiyyanum Kumaru,movie,Comedy,2013,tt2889234,6.2,1702.0
Hôtel Normandy,movie,"Comedy, Romance",2013,tt2644800,4.7,345.0
American Sniper,movie,"Action, Biography, Drama",2014,tt2179136,7.3,548020.0
Carbon Copy,movie,"Action, Crime, Drama",1970,tt0065080,5.6,230.0
Bombay Talkies,movie,"Crime, Drama",2013,tt2797242,6.6,5890.0
L'homme pressé,movie,Drama,1977,tt0076154,6.4,1069.0
My Sweet Orange Tree,movie,"Drama, Family",2012,tt2402186,7.2,1605.0
The Galloping Major,movie,Comedy,1951,tt0043574,6.2,265.0
Sorrow and Joy,movie,Drama,2013,tt3089978,7.0,1334.0
Women in Rock,movie,"Documentary, Music",1980,tt0369461,5.6,192.0
Don Juan,movie,"Adventure, Comedy, Romance",1956,tt0048946,5.9,174.0
Marta's Suitcase,movie,"Crime, Documentary",2013,tt2577646,6.7,26.0
Delphinsommer,movie,Drama,2004,tt0424033,7.0,314.0
Ghanchakkar,movie,"Comedy, Crime, Thriller",2013,tt2246724,5.9,5400.0
Dom Hemingway,movie,"Comedy, Crime, Drama",2013,tt2402105,6.1,27922.0
No Escape,movie,"Action, Thriller",2015,tt1781922,6.7,96095.0
The Forgotten Kingdom,movie,Drama,2013,tt1937504,7.1,333.0
Osuofia in London,movie,"Comedy, Drama",2003,tt0493828,6.6,129.0
Doraemon: Nobita in the Wan-Nyan Spacetime Odyssey,movie,"Action, Adventure, Animation",2004,tt1147516,7.0,762.0
The Captain of Nakara,movie,"Comedy, Romance",2012,tt1579251,7.9,60.0
Osuofia in London 2,movie,Comedy,2004,tt0493829,6.8,27.0
Ah Boys to Men II,movie,Comedy,2013,tt2910300,6.2,328.0
"Rita, the American Girl",movie,"Comedy, Musical",1965,tt0059654,4.9,162.0
I Love Cinema,movie,"Comedy, Drama",2004,tt0419473,6.6,1532.0
Mowaten we mokhber we haramy,movie,"Comedy, Drama, Musical",2001,tt0323303,6.1,755.0
Awqat faragh,movie,Drama,2006,tt1042242,6.9,761.0
An Educational Film,movie,Comedy,2000,tt1400508,7.3,1911.0
Way Upstream,movie,"Comedy, Drama, Horror",1987,tt0168249,5.4,197.0
The Other Woman,movie,"Comedy, Romance",2014,tt2203939,6.0,156217.0
It's All Over Town,movie,Musical,1964,tt0196648,5.3,86.0
Boomerang Family,movie,"Comedy, Drama",2013,tt2969506,6.5,355.0
Lone Survivor,movie,"Action, Biography, Drama",2013,tt1091191,7.5,314674.0
Viva Belarus!,movie,"Biography, Drama",2013,tt2723138,6.5,392.0
You'll See Me Returning,movie,"Comedy, Musical, Romance",1966,tt0060692,5.4,59.0
Jeans and T-shirt,movie,"Comedy, Musical, Romance",1983,tt0085751,4.1,166.0
The World's Gold,movie,"Comedy, Musical, Romance",1967,tt0138650,5.0,157.0
Blind Detective,movie,"Action, Comedy, Crime",2013,tt2332707,6.4,3787.0
Formentera,movie,Drama,2012,tt1990232,5.4,171.0
Marsal,movie,Comedy,1999,tt0227034,7.2,2078.0
The Sign of the City,movie,Drama,2007,tt1119162,6.1,305.0
Il padre di famiglia,movie,"Comedy, Drama",1967,tt0063406,6.7,317.0
Neighbors,movie,Comedy,2014,tt2004420,6.3,337099.0
Homerun,movie,"Drama, Family",2003,tt0356696,6.6,423.0
A Wedding Invitation,movie,"Drama, Romance",2013,tt2910520,6.0,541.0
Department Q: The Keeper of Lost Causes,movie,"Crime, Drama, Mystery",2013,tt2438644,7.2,34366.0
Easy Money III: Life Deluxe,movie,"Crime, Drama, Thriller",2013,tt2427502,6.2,6347.0
Piata pora roku,movie,Drama,2012,tt2209414,6.3,224.0
The Disco,movie,"Comedy, Musical, Romance",1983,tt0085443,4.2,107.0
Les Misérables: The History of the World's Greatest Story,movie,Documentary,2013,tt3043286,5.9,52.0
American Dreams in China,movie,"Comedy, Drama",2013,tt2278392,6.9,2995.0
Switch,movie,"Action, Adventure, Crime",2013,tt2460488,2.2,2031.0
Do You Know This Voice?,movie,"Crime, Drama, Mystery",1964,tt0058021,6.7,406.0
Dear Wife,movie,Comedy,1977,tt0160108,5.6,127.0
Marias menn,movie,"Comedy, Drama",2006,tt0879833,5.6,168.0
Annie,movie,"Comedy, Drama, Family",2014,tt1823664,5.4,41991.0
"Weekend, Italian Style",movie,Comedy,1965,tt0060813,6.4,490.0
Hattrick,movie,"Comedy, Drama, Romance",2007,tt0979891,4.3,539.0
A Friend of Vincent,movie,"Comedy, Drama, Music",1983,tt0085158,6.1,288.0
50 to 1,movie,Drama,2014,tt1777595,6.3,2352.0
Strange Voices,movie,Drama,1987,tt0094052,6.2,447.0
The Connection,movie,"Action, Crime, Thriller",2014,tt2935564,7.1,12787.0
Miracle,movie,Drama,1982,tt0125144,7.9,972.0
That Guy from the Stands,movie,"Comedy, Musical, Sport",1987,tt0093809,4.4,132.0
Fröken Chic,movie,Comedy,1959,tt0052831,5.6,192.0
Evidence,movie,"Crime, Horror, Mystery",2013,tt1828970,5.3,7993.0
Begin Again,movie,"Comedy, Drama, Music",2013,tt1980929,7.4,171314.0
Blitzpatrollie,movie,"Action, Comedy, Crime",2013,tt2336284,5.2,181.0
A Happy Divorce,movie,Drama,1975,tt0125384,5.3,91.0
Teppanyaki,movie,"Comedy, Romance",1984,tt0088268,5.8,232.0
Loot,movie,"Comedy, Crime",1970,tt0066002,5.3,658.0
Fukrey,movie,"Comedy, Drama, Romance",2013,tt2806788,6.9,13798.0
The Flute and the Arrow,movie,"Adventure, Documentary, Drama",1957,tt0050321,6.7,136.0
Dance Dance Dragon,movie,Comedy,2012,tt2190237,5.4,37.0
The Kids from the Port,movie,"Adventure, Drama, History",2013,tt2802172,5.7,90.0
Sherina's Adventure,movie,"Adventure, Comedy, Drama",2000,tt0274716,7.8,1102.0
The Frozen Ground,movie,"Biography, Crime, Drama",2013,tt2005374,6.4,70486.0
Ee Rojullo,movie,"Comedy, Romance",2012,tt2391817,5.6,164.0
Secretly Greatly,movie,"Action, Comedy, Drama",2013,tt2967578,6.8,5461.0
Al-saher,movie,"Comedy, Drama",2001,tt0347927,5.2,540.0
Lump of Sugar,movie,"Drama, Romance",2006,tt0438986,6.4,253.0
Mig äger ingen,movie,Drama,2013,tt2196017,6.8,2542.0
Thammudu,movie,"Action, Drama, Sport",1999,tt0240084,7.9,3670.0
Mekhong Full Moon Party,movie,"Comedy, Drama",2002,tt0352575,7.3,352.0
Lost and Found,movie,Drama,2005,tt0386565,5.4,167.0
The Mole Song: Undercover Agent Reiji,movie,"Action, Comedy, Crime",2013,tt2643394,6.5,1112.0
The Outsider,movie,"Crime, Drama, Thriller",2018,tt2011311,6.3,30481.0
Flu,movie,"Action, Crime, Drama",2013,tt2351310,6.6,15201.0
Regina,movie,Drama,2012,tt2432744,6.6,7.0
Draft Day,movie,"Drama, Sport",2014,tt2223990,6.8,69554.0
Jail Breakers,movie,Comedy,2002,tt0333528,6.2,451.0
"Love, Rosie",movie,"Comedy, Romance",2014,tt1638002,7.1,161810.0
Behind the Mask,movie,Drama,1958,tt0051405,6.1,345.0
Fonzy,movie,Comedy,2013,tt3077818,5.3,671.0
Plum Blossom,movie,"Drama, Romance",2000,tt0266855,5.9,357.0
Blackhat,movie,"Action, Crime, Thriller",2015,tt2717822,5.5,65848.0
Blue Exorcist: The Movie,movie,"Action, Adventure, Animation",2012,tt3028018,7.1,2643.0
Late Bloomers,movie,"Comedy, Drama, Romance",1996,tt0116834,6.0,616.0
Life of a King,movie,Drama,2013,tt2708254,6.9,8695.0
Storia di fifa e di coltello - Er seguito d'er più,movie,Comedy,1972,tt0126082,5.7,110.0
Nightmare in Columbia County,movie,"Crime, Drama, Thriller",1991,tt0102537,5.7,425.0
Of Good Report,movie,"Crime, Drama, Thriller",2013,tt2736074,6.3,368.0
I Am Happiness on Earth,movie,Drama,2014,tt2871256,4.5,1159.0
Coral Reef 3D: Magic of the Indo Pacific,movie,Documentary,2013,tt4637338,8.0,12.0
5 cm,movie,"Adventure, Drama, Romance",2012,tt2713324,7.2,2695.0
My Mom Is a Character,movie,Comedy,2013,tt2464018,6.9,6352.0
Der Wadenmesser,movie,Documentary,2005,tt0432192,5.8,41.0
The High Command,movie,"Crime, Drama, War",1937,tt0027741,6.0,211.0
Quiet Victory: The Charlie Wedemeyer Story,movie,Drama,1988,tt0095945,6.8,184.0
Marighella,movie,"Biography, Documentary",2012,tt2357958,4.7,3495.0
The Man from U.N.C.L.E.,movie,"Action, Adventure, Comedy",2015,tt1638355,7.2,345588.0
The Bespoke Overcoat,movie,"Drama, Fantasy, Short",1955,tt0049000,7.1,531.0
Homefront,movie,"Action, Crime, Thriller",2013,tt2312718,6.5,135142.0
Killer Toon,movie,"Horror, Thriller",2013,tt2973516,6.2,2360.0
HK: Forbidden Super Hero,movie,"Action, Comedy, Fantasy",2013,tt2708764,5.8,2843.0
La Once,movie,Documentary,2014,tt4147684,7.5,608.0
Cold Eyes,movie,"Action, Crime, Thriller",2013,tt2969656,7.1,8816.0
You Are Always in My Mind,movie,"Comedy, Musical",1969,tt0158078,5.4,73.0
Belle & Sebastian,movie,"Adventure, Drama, Family",2013,tt3146360,6.9,5801.0
Grand départ,movie,"Comedy, Drama",2013,tt2361110,5.6,172.0
Midsummer's Equation,movie,Mystery,2013,tt2412556,6.6,1271.0
Candlelight in Algeria,movie,"Drama, Mystery, War",1943,tt0036693,6.2,523.0
Anything for Alice,movie,"Comedy, Romance",2014,tt2442502,5.4,570.0
Hunting Elephants,movie,"Comedy, Crime, Drama",2013,tt2295196,6.3,1207.0
La visa loca,movie,Comedy,2005,tt0442403,6.6,91.0
Before I Go to Sleep,movie,"Drama, Mystery, Thriller",2014,tt1726592,6.3,86566.0
Four Sisters and a Wedding,movie,"Comedy, Drama",2013,tt3008034,7.3,1077.0
Amrapali,movie,"Fantasy, History",1966,tt0060104,6.6,300.0
Philomena,movie,"Biography, Comedy, Drama",2013,tt2431286,7.6,105472.0
Défense de savoir,movie,"Crime, Drama, Thriller",1973,tt0071451,5.7,195.0
Gods of Egypt,movie,"Action, Adventure, Drama",2016,tt2404233,5.4,130446.0
The Judge,movie,"Crime, Drama, Mystery",2014,tt1872194,7.4,212927.0
The Imitation Game,movie,"Biography, Drama, Thriller",2014,tt2084970,8.0,849825.0
In the Heart of the Sea,movie,"Action, Adventure, Biography",2015,tt1390411,6.9,154664.0
Papusza,movie,"Biography, Drama",2013,tt2719094,7.4,1445.0
Boomerang,movie,"Crime, Drama",1976,tt0074333,6.2,780.0
Man at the Top,movie,Drama,1973,tt0073342,5.2,213.0
The Last Five Years,movie,"Comedy, Drama, Musical",2014,tt2474024,5.9,10992.0
Boundary,movie,Documentary,2013,tt2768780,7.4,30.0
Chinese Puzzle,movie,"Comedy, Drama, Romance",2013,tt1937118,6.9,15532.0
Predestination,movie,"Action, Drama, Sci-Fi",2014,tt2397535,7.4,320332.0
I'll Sell My Skin Dearly,movie,Western,1968,tt0215321,5.5,373.0
Lazzarella,movie,"Comedy, Drama, Musical",1957,tt0050628,5.9,138.0
Les galets d'Étretat,movie,"Drama, Romance, Thriller",1972,tt0164606,4.9,101.0
Monsieur Robinson Crusoe,movie,Comedy,1960,tt0052895,3.5,72.0
Angeli senza paradiso,movie,"Drama, History, Music",1970,tt0204821,5.2,124.0
The Loves of Joanna Godden,movie,"Drama, Romance",1947,tt0039587,6.7,221.0
Kingsman: The Secret Service,movie,"Action, Adventure, Comedy",2014,tt2802144,7.7,748578.0
Chi è senza peccato....,movie,"Drama, Romance",1952,tt0044495,6.0,180.0
I Spit on Your Grave 2,movie,"Horror, Thriller",2013,tt2537176,5.7,34507.0
Inferno,movie,"Action, Adventure, Crime",2016,tt3062096,6.2,195206.0
The Conmen in Vegas,movie,Comedy,1999,tt0208871,5.5,616.0
"Not Now, Comrade",movie,Comedy,1976,tt0074977,5.0,233.0
"Oro, Plata, Mata",movie,"Drama, War",1982,tt0086056,7.7,689.0
A Triumph of the Heart: The Ricky Bell Story,movie,"Biography, Drama, Sport",1991,tt0103123,7.2,288.0
Strawberry Night,movie,"Crime, Thriller",2013,tt2322601,6.2,310.0
Salt & Gold,movie,"Adventure, Comedy, Family",1983,tt0171765,6.8,498.0
Bonnie Prince Charlie,movie,"Biography, Drama, History",1948,tt0040183,5.2,345.0
Neapolitan Boy in New York,movie,"Drama, Musical, Romance",1984,tt0088068,5.3,89.0
Save the Children,movie,"Documentary, Music",1973,tt0128454,7.1,142.0
All for Love,movie,"Comedy, Drama, Romance",2005,tt0479724,6.7,334.0
Mezzanotte d'amore,movie,"Musical, Romance",1970,tt0138609,5.3,60.0
Batman v Superman: Dawn of Justice,movie,"Action, Adventure, Sci-Fi",2016,tt2975590,6.5,769181.0
The Grand Seduction,movie,Comedy,2013,tt2319580,7.0,20026.0
Life of Crime,movie,"Comedy, Crime",2013,tt1663207,5.8,20648.0
Lucia,movie,"Drama, Mystery",1998,tt0168978,7.3,67.0
Dampfnudelblues,movie,"Comedy, Crime",2013,tt2969050,6.9,3055.0
The Art of the Steal,movie,"Comedy, Crime, Thriller",2013,tt2172985,6.3,26615.0
The Love Punch,movie,"Comedy, Romance",2013,tt2234261,5.7,16354.0
Felony,movie,"Crime, Drama, Mystery",2013,tt2402603,6.1,6073.0
Louis Cyr,movie,"Biography, Drama, History",2013,tt1657513,7.4,1957.0
The Divided Heart,movie,Drama,1954,tt0046915,6.9,326.0
Land of Cards,movie,Fantasy,2012,tt2261700,5.5,447.0
A Stoning in Fulham County,movie,"Crime, Drama, Thriller",1988,tt0096179,5.9,484.0
Leftenan Adnan,movie,"Biography, Drama, History",2000,tt0267664,6.8,193.0
Bad Words,movie,"Comedy, Drama",2013,tt2170299,6.6,56570.0
The Right Kind of Wrong,movie,"Comedy, Romance",2013,tt2286990,6.1,10159.0
Senario Lagi,movie,"Adventure, Comedy, Family",2000,tt0270640,7.3,130.0
The Terror Live,movie,"Action, Crime, Drama",2013,tt2990738,7.1,8424.0
Cold Comes the Night,movie,"Action, Crime, Mystery",2013,tt2511428,5.7,10372.0
SDU: Sex Duties Unit,movie,"Action, Comedy",2013,tt3044248,5.8,583.0
Se lo scopre Gargiulo,movie,"Comedy, Crime",1988,tt0203094,6.0,98.0
Mortdecai,movie,"Action, Adventure, Comedy",2015,tt3045616,5.5,78370.0
Grean Fictions,movie,"Comedy, Drama",2013,tt2776412,6.9,185.0
To and from New York,movie,"Drama, Romance",2006,tt0889225,6.1,57.0
Radio Parade of 1935,movie,"Comedy, Musical",1934,tt0025698,5.9,171.0
Only a Mother,movie,Drama,1949,tt0041155,6.8,233.0
Lullaby,movie,Documentary,2010,tt1598867,6.5,26.0
Minions,movie,"Adventure, Animation, Comedy",2015,tt2293640,6.4,271650.0
"Keep Your Seats, Please!",movie,"Comedy, Musical",1936,tt0027838,6.1,289.0
Go Go Mania,movie,"Documentary, Music",1965,tt0237588,6.3,479.0
Hunter X Hunter: Phantom Rouge,movie,"Action, Adventure, Animation",2013,tt2918988,6.6,3551.0
Instructions Not Included,movie,"Comedy, Drama",2013,tt2378281,7.5,33475.0
Tim's Vermeer,movie,"Documentary, History",2013,tt3089388,7.8,8674.0
Puella Magi Madoka Magica the Movie Part III: The Rebellion Story,movie,"Animation, Drama, Fantasy",2013,tt2457282,7.8,4444.0
Midshipman Easy,movie,Adventure,1935,tt0026713,5.5,224.0
Se non avessi più te,movie,"Comedy, Drama, Musical",1965,tt0059690,5.8,87.0
For All the Gold in the World,movie,"Comedy, Musical",1968,tt0139510,5.1,104.0
Il suo nome è Donna Rosa,movie,"Comedy, Musical, Romance",1969,tt0138837,4.9,80.0
Fotoromanzo,movie,"Comedy, Drama, Musical",1986,tt0091071,4.9,76.0
Enzo Avitabile Music Life,movie,Documentary,2012,tt2197913,6.6,138.0
Penny Paradise,movie,"Comedy, Musical",1938,tt0030569,6.2,251.0
Rhymes for Young Ghouls,movie,"Crime, Drama",2013,tt2385195,6.5,1525.0
Chef,movie,"Adventure, Comedy, Drama",2014,tt2883512,7.3,241040.0
Perdono,movie,"Comedy, Drama, Musical",1966,tt0060823,5.4,63.0
The Powerpuff Girls: 'Twas the Fight Before Christmas,movie,"Action, Adventure, Animation",2003,tt0391404,7.1,717.0
Masterminds,movie,"Biography, Comedy, Crime",2015,tt2461150,5.8,62792.0
Un week-end sur deux,movie,Drama,1990,tt0100840,5.7,252.0
Words and Pictures,movie,"Comedy, Drama, Romance",2013,tt2380331,6.6,11728.0
The Armstrong Lie,movie,"Biography, Documentary, Sport",2013,tt1638364,7.2,8158.0
Hide and Seek,movie,"Horror, Mystery, Thriller",2013,tt3155654,6.3,2480.0
Cine Holliúdy,movie,"Comedy, Family, Romance",2012,tt2342810,6.9,1264.0
Sincerely Charlotte,movie,"Drama, Romance, Thriller",1985,tt0091956,5.2,233.0
Zone Pro Site: The Moveable Feast,movie,Comedy,2013,tt3166476,6.5,711.0
Ted 2,movie,Comedy,2015,tt2637276,6.3,245599.0
Hwayi: A Monster Boy,movie,"Action, Thriller",2013,tt2972362,7.0,5682.0
I Don't Know Whether to Slit My Wrists or Leave Them Long,movie,"Comedy, Drama",2013,tt2539482,6.9,1964.0
By the River,movie,Drama,2013,tt3103322,6.0,28.0
Madras Cafe,movie,"Action, Drama, Thriller",2013,tt2855648,7.6,25810.0
Barcelona Summer Night,movie,"Comedy, Drama, Romance",2013,tt2363564,6.2,1459.0
The Amazing Catfish,movie,"Comedy, Drama",2013,tt2414046,7.0,2167.0
Fifty Shades of Grey,movie,"Drama, Romance, Thriller",2015,tt2322441,4.2,345288.0
Ghost Child,movie,Horror,2013,tt2618214,4.9,150.0
Into the Storm,movie,"Action, Adventure, Drama",2014,tt2106361,5.8,73039.0
Giraffada,movie,Drama,2013,tt3132086,6.3,316.0
Paradise,movie,"Comedy, Drama, Romance",2013,tt2866676,6.3,759.0
Mike Birbiglia: My Girlfriend's Boyfriend,movie,Comedy,2013,tt2937390,7.9,3776.0
Vinyl Days,movie,"Comedy, Music, Romance",2012,tt2281551,6.8,1235.0
Sohni Mahiwal,movie,"Action, Drama, Romance",1984,tt0152509,6.1,420.0
A Real Life,movie,"Crime, Drama, Romance",2009,tt1356893,6.0,191.0
Markova: Comfort Gay,movie,"Biography, Drama, History",2000,tt0292097,6.9,224.0
Satyagraha,movie,Drama,2013,tt2275802,5.9,5482.0
"Hope God Loves You, Mom",movie,"Adventure, Drama, Fantasy",2013,tt3096088,7.2,50.0
La tahzan,movie,"Drama, Romance",2013,tt3093844,6.5,100.0
Cinta Brontosaurus,movie,"Comedy, Drama, Romance",2013,tt3032040,6.0,464.0
KL Gangster 2,movie,"Action, Crime, Thriller",2013,tt3056608,5.6,359.0
Spray of the Days,movie,"Comedy, Drama, Romance",1968,tt0155415,5.4,202.0
A Moment of Romance II,movie,"Action, Crime, Romance",1993,tt0105589,6.1,321.0
Trailer Park Boys: Xmas Special,movie,Comedy,2004,tt0439856,8.0,4067.0
One Who Set Forth: Wim Wenders' Early Years,movie,Documentary,2007,tt0949576,7.1,150.0
Let's Calm Down and Drink Fresh in Saint-Tropez,movie,Comedy,1987,tt0089727,3.6,372.0
Chhota Bheem aur Krishna: Mayanagari,movie,"Action, Adventure, Animation",2011,tt16235600,7.4,306.0
Coboy Junior: The Movie,movie,"Drama, Family, Musical",2013,tt3032182,4.0,194.0
Refrain,movie,"Drama, Romance",2013,tt4522640,6.0,171.0
Doraemon: Nobita's Secret Gadget Museum,movie,"Action, Adventure, Animation",2013,tt2768084,7.0,1442.0
Freaks of Nature,movie,"Comedy, Horror, Sci-Fi",2015,tt1817771,5.9,13885.0
Rock and Roll's Greatest Failure: Otway the Movie,movie,Documentary,2013,tt2357748,7.6,599.0
Manusia Setengah Salmon,movie,"Comedy, Romance",2013,tt6330072,5.7,187.0
Elvira,movie,Drama,2013,tt3265678,6.2,58.0
A Certain Magical Index: The Movie - The Miracle of Endymion,movie,"Animation, Comedy, Fantasy",2013,tt3163844,6.4,678.0
Eyjafjallajökull,movie,Comedy,2013,tt2207072,5.6,4520.0
Pulling Strings,movie,"Comedy, Romance",2013,tt3203890,6.1,2051.0
Hur många kramar finns det i världen?,movie,"Comedy, Drama",2013,tt2846974,4.9,613.0
A Coleção Invisível,movie,Drama,2012,tt2550692,7.0,188.0
The Face Reader,movie,"Action, Drama, History",2013,tt3008014,6.8,3042.0
Grand Piano,movie,"Drama, Music, Mystery",2013,tt2039345,5.9,20012.0
The Midas Touch,movie,Comedy,2013,tt3173512,4.9,213.0
Ismael,movie,Drama,2013,tt1710393,6.3,1203.0
London Fields,movie,"Crime, Mystery, Thriller",2018,tt1273221,3.9,12650.0
When We Were Boys,movie,"Comedy, Drama, Romance",2013,tt2747786,6.3,431.0
The Stolen Years,movie,Romance,2013,tt3175936,6.2,1366.0
The Wedding Diary,movie,Comedy,2012,tt2473804,6.5,91.0
Detective Downs,movie,"Comedy, Crime, Drama",2013,tt2565306,5.3,591.0
A Place Nearby,movie,Drama,2000,tt0212215,6.1,299.0
The Spy: Undercover Operation,movie,"Action, Comedy",2013,,6.5,1601.0
The Extra Day,movie,"Comedy, Drama",1956,tt0049195,5.7,192.0
Rurouni Kenshin Part II: Kyoto Inferno,movie,"Action, Adventure, Drama",2014,tt3029558,7.5,19119.0
Rurouni Kenshin: The Legend Ends,movie,"Action, Adventure, Drama",2014,tt3029556,7.5,15334.0
Las maestras de la República,movie,"Documentary, History",2013,tt2731500,6.2,134.0
The Fashioned in Saint-Tropez,movie,Comedy,1983,tt0085272,3.9,366.0
Wer,movie,"Action, Horror, Mystery",2013,tt2229511,5.9,10311.0
About Last Night,movie,"Comedy, Romance",2014,tt1826590,6.0,25506.0
Aloha,movie,"Comedy, Drama, Romance",2015,tt1243974,5.4,75594.0
While the Door Was Locked,movie,Drama,1946,tt0038734,7.0,265.0
The White Cat,movie,"Drama, Mystery",1950,tt0043109,6.2,186.0
Time and the Wind,movie,"Drama, Romance, War",2013,tt2401711,6.7,949.0
Ghadi,movie,"Comedy, Drama, Family",2013,tt2552296,7.3,1257.0
Connecting Rooms,movie,Drama,1970,tt0066943,6.4,953.0
Sausage Party,movie,"Adventure, Animation, Comedy",2016,tt1700841,6.1,218314.0
Barber's Tales,movie,Drama,2013,tt3254578,7.7,274.0
Attarintiki Daredi,movie,"Action, Comedy, Drama",2013,tt3042926,7.3,10189.0
The Clerics,movie,"Action, Biography, Drama",2013,tt3032240,6.9,194.0
Head in the Clouds,movie,Drama,2012,tt2098666,7.1,80.0
"Honey, Scare Me",movie,Comedy,1958,tt0155628,4.4,52.0
Non-Stop,movie,"Action, Mystery, Thriller",2014,tt2024469,6.9,281681.0
Macbeth,movie,"Drama, History, War",2015,tt2884018,6.6,60531.0
Sex Tape,movie,"Comedy, Romance",2014,tt1956620,5.1,120527.0
L'addition,movie,"Drama, Thriller",1984,tt0086852,5.7,315.0
Michael,movie,"Drama, Thriller",2011,tt1754202,5.3,1163.0
Life Feels Good,movie,Drama,2013,tt3092552,7.6,3341.0
Blind Intersections,movie,Drama,2012,tt1918638,6.5,209.0
Tammy,movie,"Comedy, Romance",2014,tt2103254,4.9,55943.0
